Label,Label (cy),Prefix,Name,Abstract,Type,Period Type,Balance,Deprecated Label,Deprecated Label (cy),Deprecated Date,Companies Act,Audit Regulations,FRS 102
001 - Taxonomy and Tagging Information,,,,,,,,,,,,,
Taxonomy information [heading],Gwybodaeth tacsonomeg [pennawd],bus,TaxonomyInformationHeading,true,types:headingItemType,duration,,,,,,,
"For legal information on this taxonomy, see 'http://xbrl.frc.org.uk/legal' [guidance]","I gael gwybodaeth gyfreithiol am y dacsonomeg yma, gweler 'http://xbrl.frc.org.uk/legal' [canllawiau]",bus,ForLegalInformationOnThisTaxonomySeeHttpxbrl.frc.org.uklegalGuidance,true,types:guidanceItemType,duration,,,,,,,
"For guidance on how to use the taxonomy, see guidance documents published at 'http://xbrl.frc.org.uk/' [guidance]","I gael arweiniad ar sut mae defnyddio'r dacsonomeg, gweler y dogfennau canllawiau a gyhoeddwyd yn 'http://xbrl.frc.org.uk/' [canllawiau]",bus,ForGuidanceOnHowToUseTaxonomySeeGuidanceDocumentsPublishedHttpxbrl.frc.org.ukGuidance,true,types:guidanceItemType,duration,,,,,,,
002 - Entity Information,,,,,,,,,,,,,
Entity information [heading],Gwybodaeth am yr endid [pennawd],bus,EntityInformationHeading,true,types:headingItemType,duration,,,,,,,
Entity names [heading],Enwau'r endid [pennawd],bus,EntityNamesHeading,true,types:headingItemType,duration,,,,,,,
Entity current legal or registered name,Enw cyfreithiol neu gofrestredig presennol yr endid,bus,EntityCurrentLegalOrRegisteredName,false,stringItemType,duration,,,,,,,
Entity trading name,Enw masnachu'r endid,bus,EntityTradingName,false,stringItemType,duration,,,,,,,
Entity former legal or registered name [grouping],Enw cyfreithiol neu gofrestredig blaenorol yr endid [grwpio],bus,EntityFormerLegalOrRegisteredNameGrouping,true,types:groupingItemType,duration,,,,,,,
Entity former legal or registered name,Enw cyfreithiol neu gofrestredig blaenorol yr endid,bus,EntityFormerLegalOrRegisteredName,false,stringItemType,duration,,,,,,,
Date when ceased to be legal or registered name,Dyddiad pan ddaeth i ben fel enw cyfreithiol neu gofrestredig,bus,DateWhenCeasedToBeLegalOrRegisteredName,false,dateItemType,instant,,,,,,,
Entity identifying codes [heading],Codau adnabod yr endid [pennawd],bus,EntityIdentifyingCodesHeading,true,types:headingItemType,duration,,,,,,,
UK Companies House registered number,Rhif cofrestredig Tŷ'r Cwmnïau yn y DU,bus,UKCompaniesHouseRegisteredNumber,false,stringItemType,duration,,,,,,,
VAT registration number,Rhif cofrestru TAW,bus,VATRegistrationNumber,false,stringItemType,duration,,,,,,,
Legal Entity Identifier,Dynodwr Endid cyfreithiol,bus,LegalEntityIdentifier,false,stringItemType,duration,,,,,,,
"Description of alternative registration, including name of business registry and number","Disgrifiad o gofrestriad amgen, yn cynnwys cofrestriad enw busnes a rhif cofrestredig",bus,DescriptionAlternativeRegistrationIncludingNameBusinessRegistryNumber,false,stringItemType,duration,,,,,,,
Entity activities [heading],Gweithgareddau endid [pennawd],bus,EntityActivitiesHeading,true,types:headingItemType,duration,,,,,,,
Description of principal activities,Disgrifiad o'r prif weithgareddau,bus,DescriptionPrincipalActivities,false,stringItemType,duration,,,,,,,
Main industry sector,Prif sector y diwydiant,bus,MainIndustrySector,false,types:fixedItemType,duration,,,,,,,
"SIC code recorded at UK Companies House, 1","Cod SIC a gofnodwyd gyda Thŷ'r Cwmnïau yn y DU, 1",bus,SICCodeRecordedUKCompaniesHouse1,false,stringItemType,duration,,,,,,,
"SIC code recorded at UK Companies House, 2","Cod SIC a gofnodwyd gyda Thŷ'r Cwmnïau yn y DU, 2",bus,SICCodeRecordedUKCompaniesHouse2,false,stringItemType,duration,,,,,,,
"SIC code recorded at UK Companies House, 3","Cod SIC a gofnodwyd gyda Thŷ'r Cwmnïau yn y DU, 3",bus,SICCodeRecordedUKCompaniesHouse3,false,stringItemType,duration,,,,,,,
"SIC code recorded at UK Companies House, 4","Cod SIC a gofnodwyd gyda Thŷ'r Cwmnïau yn y DU, 4",bus,SICCodeRecordedUKCompaniesHouse4,false,stringItemType,duration,,,,,,,
Entity legal form [heading],Ffurf gyfreithiol yr endid [pennawd],bus,EntityLegalFormHeading,true,types:headingItemType,duration,,,,,,,
Legal form of entity,Ffurf gyfreithiol yr endid,bus,LegalFormEntity,false,types:fixedItemType,duration,,,,,,,
Country of formation or incorporation,Gwlad ffurfio neu gorffori,bus,CountryFormationOrIncorporation,false,types:fixedItemType,duration,,,,,,,
Date of formation or incorporation,Dyddiad ffurfio neu gorffori,bus,DateFormationOrIncorporation,false,dateItemType,instant,,,,,,,
Entity shares [heading],Cyfranddaliadau'r endid [pennawd],bus,EntitySharesHeading,true,types:headingItemType,duration,,,,,,,
Use entity share classes dimension to identify individual share class [guidance],Defnyddiwch dimensiwn dosbarth cyfranddaliadau yr endid i enwi dosbarth cyfran cyfranddaliadau unigol [canllawiau],bus,UseEntityShareClassesDimensionToIdentifyIndividualShareClassGuidance,true,types:guidanceItemType,duration,,,,,,,
Use share types dimension to identify individual share type [guidance],Defnyddiwch dimensiwn math o gyfranddaliadau i enwi math o gyfranddaliadau unigol [canllawiau],bus,UseShareTypesDimensionToIdentifyIndividualShareTypeGuidance,true,types:guidanceItemType,duration,,,,,,,
Description of share type,Disgrifiad o fath y cyfranddaliad,bus,DescriptionShareType,false,stringItemType,duration,,,,,Name: CA; Section: 540; Year: 2006,,
Operational status of entity [heading],Statws gweithredol yr endid [pennawd],bus,OperationalStatusEntityHeading,true,types:headingItemType,duration,,,,,,,
Dormant accounts should only be filed if no significant accounting transaction has taken place during the accounting period [guidance],Dylai cyfrifon segur ond gael eu ffeilio os nad oes unrhyw drafodion cyfrifyddu arwyddocaol wedi digwydd yn ystod y cyfnod cyfrifyddu [canllawiau],bus,DormantAccountsShouldOnlyBeFiledIfNoSignificantAccountingTransactionHasTakenPlaceDuringAccountingPeriodGuidance,true,types:guidanceItemType,duration,,,,,,,
A significant accounting transaction is one which the company should enter in its accounting records to meet its legal obligations under S 386 of the Companies Act 2006 [guidance],Mae trafodion cyfrifyddu arwyddocaol yn rhai y dylai'r cwmni eu cynnwys yn y cofnodion cyfrifyddu er mwyn bodloni ei ymrwymiadau cyfreithiol o dan S 386 Deddf Cwmnïau 2006 [canllawiau],bus,SignificantAccountingTransactionOneWhichCompanyShouldEnterInItsAccountingRecordsToMeetItsLegalObligationsUnderS386CompaniesAct2006Guidance,true,types:guidanceItemType,duration,,,,,,,
Entity is dormant [true/false],Endid yn segur [gwir/anwir],bus,EntityDormantTruefalse,false,booleanItemType,duration,,,,,Name: CA; Section: 1169; Year: 2006,,
Entity trading status,Statws masnachu'r endid,bus,EntityTradingStatus,false,types:fixedItemType,duration,,,,,Name: CA; Section: 1169; Year: 2006,,
Entity is under special legal status,Mae'r endid o dan statws cyfreithiol arbennig,bus,EntityUnderSpecialLegalStatus,false,types:fixedItemType,duration,,,,,,,
Use countries dimension to identify countries or regions where operational status applies [guidance],Defnyddiwch dimensiwn gwledydd i enwi gwledydd neu ranbarthau ble mae statws gweithredol yn gymwys [canllawiau],bus,UseCountriesDimensionToIdentifyCountriesOrRegionsWhereOperationalStatusAppliesGuidance,true,types:guidanceItemType,duration,,,,,,,
Tax status of entity [heading],Statws treth yr endid [pennawd],bus,TaxStatusEntityHeading,true,types:headingItemType,duration,,,,,,,
OECD Pillar Two legislation is in scope for reporting entity [true/false],Mae deddfwriaeth Colofn Dau OECD o fewn cwmpas yr endid adrodd [gwir/anwir],bus,OECDPillarTwoLegislationInScopeForReportingEntityTruefalse,false,booleanItemType,duration,,,,,,,Name: FRS; Number: 102; Paragraph: 29.28 (a)
